"id","name","state_or_province_id","created_at","updated_at"
80,Mataquescuintla,136,2018-12-08 19:28:20.904,2018-12-08 19:28:20.904
81,Opataro,103,2018-12-09 01:10:10.488,2018-12-09 01:10:10.488
82,Pangoa,137,2018-12-10 22:30:50.643,2018-12-10 22:30:50.643
83,Karatina,3,2018-12-17 16:42:28.320,2018-12-17 16:42:28.320
84,Jalapa,37,2018-12-20 00:57:22.510,2018-12-20 00:57:22.510
85,Yanacachi,,2018-12-20 17:55:59.653,2018-12-20 17:55:59.653
86,Hambela,106,2018-12-22 21:37:41.796,2018-12-22 21:37:41.796
87,Rutsiro,140,2019-01-02 18:08:35.711,2019-01-02 18:08:35.711
88,Machado,30,2019-01-03 01:45:28.343,2019-01-03 01:45:28.343
89,Waghi Valley,142,2019-01-04 01:09:09.550,2019-01-04 01:09:09.550
90,Caicedonia,125,2019-01-07 02:31:34.636,2019-01-07 02:31:34.636
91,Chere,,2019-01-07 03:24:32.327,2019-01-07 03:24:32.327
92,Aroresa,,2019-01-07 03:25:00.892,2019-01-07 03:25:00.892
93,Acatenango,145,2019-01-07 03:29:08.522,2019-01-07 03:29:08.522
94,Muranga,,2019-01-12 14:10:07.185,2019-01-12 14:10:07.185
95,Corquín,107,2019-01-12 14:18:12.767,2019-01-12 14:18:12.767
96,Chinacla,103,2019-01-17 02:36:06.333,2019-01-17 02:36:06.333
97,Gedeb,155,2019-01-17 02:47:50.326,2019-01-17 02:47:50.326
98,Tecapa-Chinameca,156,2019-01-17 02:56:59.118,2019-01-17 02:56:59.118
99,Nyamagabe,157,2019-01-19 15:25:32.927,2019-01-19 15:25:32.927
100,Riosucio,48,2019-01-19 15:37:59.439,2019-01-19 15:37:59.439
101,Citalá,114,2019-01-21 00:22:57.665,2019-01-21 00:22:57.665
102,Huabal,158,2019-01-21 01:19:13.089,2019-01-21 01:19:13.089
103,Santa Cruz Xoxocotlán,159,2019-01-21 01:49:22.455,2019-01-21 01:49:22.455
104,San Rafael del Norte,160,2019-01-21 01:55:21.934,2019-01-21 01:55:21.934
105,Rushashi,161,2019-01-22 04:27:14.980,2019-01-22 04:27:14.980
106,Gakenke,161,2019-01-24 02:38:40.068,2019-01-24 02:38:40.068
107,Tana Toraja,166,2019-01-24 21:36:47.103,2019-01-24 21:36:47.103
108,Santa Barbara,72,2019-01-24 21:41:23.378,2019-01-24 21:41:23.378
109,San Pedro Necta,,2019-01-30 14:21:37.689,2019-01-30 14:21:37.689
110,Mwika Kaskazini,168,2019-02-03 16:51:47.163,2019-02-03 16:51:47.163
111,Gomma,73,2019-02-03 17:02:00.834,2019-02-03 17:02:00.834
112,Bura'a District,171,2019-02-11 03:21:12.339,2019-02-11 03:21:12.339
113,Los Cipresales,31,2019-02-13 01:12:00.620,2019-02-13 01:12:00.620
114,Yanatile,173,2019-02-13 01:40:50.970,2019-02-13 01:40:50.970
115,Chinchiná,48,2019-02-13 14:21:12.920,2019-02-13 14:21:12.920
116,Ilamatepec volcano,41,2019-02-22 03:13:56.080,2019-02-22 03:13:56.080
117,Ilamatepec,41,2019-02-24 23:13:37.232,2019-02-24 23:13:37.232
118,Santa Barbara,36,2019-02-25 14:54:02.796,2019-02-25 14:54:02.796
119,Gedeb,97,2019-02-25 17:56:22.215,2019-02-25 17:56:22.215
120,Rulindo District,161,2019-02-26 21:04:27.372,2019-02-26 21:04:27.372
121,El Tablón De Gómez,72,2019-03-02 14:45:34.879,2019-03-02 14:45:34.879
122,Concepcíon,91,2019-03-03 19:09:11.367,2019-03-03 19:09:11.367
123,El Tambo,42,2019-03-04 18:14:09.973,2019-03-04 18:14:09.973
338,Mbozi,100,2019-11-08 21:49:36.774,2019-11-08 21:49:36.774
125,Ancerma,175,2019-03-08 03:37:30.838,2019-03-08 03:37:30.838
126,Kainantu District,176,2019-03-08 04:12:14.515,2019-03-08 04:12:14.515
127,Chuave,178,2019-03-08 13:58:37.880,2019-03-08 13:58:37.880
128,Sierra Madre de Oaxaca,33,2019-03-10 18:56:37.556,2019-03-10 18:56:37.556
129,Ihuamaca,180,2019-03-12 00:44:03.920,2019-03-12 00:44:03.920
130,Campos Altos,30,2019-03-15 00:22:25.573,2019-03-15 00:22:25.573
131,Lintong,130,2019-03-17 15:25:48.208,2019-03-17 15:25:48.208
132,Rio Paranaiba,30,2019-03-18 15:10:51.062,2019-03-18 15:10:51.062
133,Caconde,74,2019-03-18 15:56:02.808,2019-03-18 15:56:02.808
134,Paez,42,2019-03-19 22:18:23.926,2019-03-19 22:18:23.926
135,Peña Blanca,36,2019-03-19 23:57:30.580,2019-03-19 23:57:30.580
136,La Coipa,180,2019-03-20 00:27:13.385,2019-03-20 00:27:13.385
137,Popayan,42,2019-03-20 00:57:10.523,2019-03-20 00:57:10.523
138,Bukeye,167,2019-03-20 23:52:54.512,2019-03-20 23:52:54.512
139,Bensa,184,2019-03-24 02:16:06.625,2019-03-24 02:16:06.625
140,Karaba ,185,2019-03-24 02:39:27.150,2019-03-24 02:39:27.150
141,Gicumbi,161,2019-03-25 03:10:17.025,2019-03-25 03:10:17.025
142,Odo Shakiso,106,2019-03-26 20:17:37.611,2019-03-26 20:17:37.611
143,Poço Fundo,30,2019-03-29 01:01:58.017,2019-03-29 01:01:58.017
144,Aserrí,69,2019-03-29 01:22:38.798,2019-03-29 01:22:38.798
145,Butaganzwa,22,2019-04-01 15:55:59.708,2019-04-01 15:55:59.708
146,Chirinos,180,2019-04-03 18:12:01.844,2019-04-03 18:12:01.844
147,Tangua,72,2019-04-05 18:13:54.253,2019-04-05 18:13:54.253
148,Saraguro Canton,187,2019-04-05 19:24:38.688,2019-04-05 19:24:38.688
149,Chajul,188,2019-04-08 02:13:56.904,2019-04-08 02:13:56.904
150,Obura-Wonenara District,176,2019-04-11 17:56:54.781,2019-04-11 17:56:54.781
151,Huye District,157,2019-04-11 18:14:35.554,2019-04-11 18:14:35.554
152,Nyamasheke district,140,2019-04-11 21:48:09.429,2019-04-11 21:48:09.429
153,Consacá,72,2019-04-11 22:21:27.711,2019-04-11 22:21:27.711
154,Pueblo Nuevo ,,2019-04-12 00:50:54.639,2019-04-12 00:50:54.639
155,Matongo,22,2019-04-12 01:23:46.638,2019-04-12 01:23:46.638
156,Musongati,194,2019-04-12 03:06:25.106,2019-04-12 03:06:25.106
157,Amaro,184,2019-04-12 03:47:00.681,2019-04-12 03:47:00.681
158,Murang'a,200,2019-04-13 00:31:22.834,2019-04-13 00:31:22.834
159,Khawlan Amer,201,2019-04-13 00:47:38.632,2019-04-13 00:47:38.632
160,Cristina,30,2019-04-13 01:11:16.143,2019-04-13 01:11:16.143
161,Gedeb District,97,2019-04-16 19:53:34.499,2019-04-16 19:53:34.499
162,Imués,72,2019-04-16 21:01:26.071,2019-04-16 21:01:26.071
163,San Jose del Alto,158,2019-04-17 02:20:00.516,2019-04-17 02:20:00.516
164,Cerrado,30,2019-04-18 16:36:13.672,2019-04-18 16:36:13.672
165,Nanegal,138,2019-04-19 00:48:38.985,2019-04-19 00:48:38.985
166,Olímpio Noronha,30,2019-04-20 20:25:47.800,2019-04-20 20:25:47.800
167,Bugendana,204,2019-04-21 02:59:01.625,2019-04-21 02:59:01.625
168,Nahualá,206,2019-04-21 20:50:24.291,2019-04-21 20:50:24.291
169,La Plata,11,2019-04-28 23:56:22.761,2019-04-28 23:56:22.761
170,Kochere,210,2019-05-06 19:01:46.606,2019-05-06 19:01:46.606
172,Caranavi,211,2019-05-08 01:03:45.228,2019-05-08 01:03:45.228
173,Pasto,72,2019-05-10 19:11:03.103,2019-05-10 19:11:03.103
174,Colasay,158,2019-05-10 19:21:26.806,2019-05-10 19:21:26.806
175,Piendamó,42,2019-05-13 16:42:13.936,2019-05-13 16:42:13.936
176,Rutsiro,,2019-05-14 15:48:47.921,2019-05-14 15:48:47.921
177,Alto Jequitibá,30,2019-05-15 16:26:50.782,2019-05-15 16:26:50.782
178,Kayanza ,22,2019-05-17 20:38:43.018,2019-05-17 20:38:43.018
179,North Yungas,213,2019-05-28 14:40:02.064,2019-05-28 14:40:02.064
180,San Jose de Lourdes,180,2019-05-28 14:52:50.630,2019-05-28 14:52:50.630
181,Embu North,46,2019-05-28 15:32:18.039,2019-05-28 15:32:18.039
182,Limmu Kossa,214,2019-05-28 18:47:49.063,2019-05-28 18:47:49.063
183,Cahuasquí,215,2019-05-31 18:04:04.397,2019-05-31 18:04:04.397
184,Florida,216,2019-06-04 14:21:38.786,2019-06-04 14:21:38.786
185,Caranavi,213,2019-06-04 14:40:28.036,2019-06-04 14:40:28.036
186,Sierra Nevada Mountain Range,218,2019-06-22 18:58:25.153,2019-06-22 18:58:25.153
187,San José Poaquil,31,2019-06-24 19:27:04.794,2019-06-24 19:27:04.794
188,Kayanza,22,2019-06-28 18:45:03.398,2019-06-28 18:45:03.398
189,Hambela Wamena,106,2019-06-28 19:16:44.669,2019-06-28 19:16:44.669
190,Colombia,11,2019-06-28 20:14:40.414,2019-06-28 20:14:40.414
191,San Augustín,11,2019-06-28 20:52:35.565,2019-06-28 20:52:35.565
192,Sidama,184,2019-06-28 21:09:07.460,2019-06-28 21:09:07.460
193,Ilicínea,30,2019-06-29 21:22:09.337,2019-06-29 21:22:09.337
194,Popayán,42,2019-06-30 01:49:10.695,2019-06-30 01:49:10.695
195,San Fernando,224,2019-06-30 14:43:50.897,2019-06-30 14:43:50.897
196,La Libertad,5,2019-07-01 19:40:13.791,2019-07-01 19:40:13.791
197,Brejetuba,217,2019-07-02 19:17:31.145,2019-07-02 19:17:31.145
198,Santa Teresa De La Convencion ,173,2019-07-05 20:21:16.248,2019-07-05 20:21:16.248
199,San Antonio,71,2019-07-05 22:43:32.866,2019-07-05 22:43:32.866
200,Taypiplaya,211,2019-07-09 19:04:23.793,2019-07-09 19:04:23.793
201,Pedregal,230,2019-07-09 19:40:59.290,2019-07-09 19:40:59.290
