"id","name","country_id","created_at","updated_at"
88,England,29,2018-09-14 02:40:03.821,2018-09-14 02:40:03.821
89,Sololá ,4,2018-09-15 17:00:03.622,2018-09-15 17:00:03.622
90,San Marcos,4,2018-09-15 17:18:56.636,2018-09-15 17:18:56.636
91,Ocotepeque,22,2018-09-15 17:48:20.608,2018-09-15 17:48:20.608
92,Kapchorwa,31,2018-09-15 18:03:31.570,2018-09-15 18:03:31.570
93,Aceh,32,2018-09-15 21:12:17.985,2018-09-15 21:12:17.985
94,Jimma,11,2018-09-16 23:23:28.316,2018-09-16 23:23:28.316
95,Massachusetts,15,2018-09-16 23:47:30.547,2018-09-16 23:47:30.547
96,New South Wales,33,2018-09-17 00:20:23.098,2018-09-17 00:20:23.098
97,Gedeo Zone,11,2018-09-23 23:48:58.817,2018-09-23 23:48:58.817
98,Gelena Abaya,11,2018-09-24 00:01:11.615,2018-09-24 00:01:11.615
99,Guji Zone,11,2018-09-25 01:06:42.400,2018-09-25 01:06:42.400
100,Mbeya,27,2018-09-28 01:33:24.623,2018-09-28 01:33:24.623
101,Sololà,4,2018-09-30 12:50:44.956,2018-09-30 12:50:44.956
102,Shan State,34,2018-10-04 02:14:06.699,2018-10-04 02:14:06.699
103,La Paz,22,2018-10-07 04:13:05.819,2018-10-07 04:13:05.819
105,Zamora,20,2018-10-07 04:38:40.574,2018-10-07 04:38:40.574
106,Guji,11,2018-10-07 15:20:10.320,2018-10-07 15:20:10.320
107,Copán,22,2018-10-10 14:01:56.233,2018-10-10 14:01:56.233
108,Madriz,17,2018-10-10 14:16:54.567,2018-10-10 14:16:54.567
109,Estelí,17,2018-10-10 14:26:30.667,2018-10-10 14:26:30.667
110,Berlin,36,2018-10-13 02:00:48.683,2018-10-13 02:00:48.683
111,Heredia,13,2018-10-13 02:23:13.513,2018-10-13 02:23:13.513
112,Ahuachapán,19,2018-10-13 03:01:42.850,2018-10-13 03:01:42.850
113,West Arsi,11,2018-10-13 03:30:40.528,2018-10-13 03:30:40.528
114,Chalatenango,19,2018-10-17 15:03:33.773,2018-10-17 15:03:33.773
115,Gotiti,11,2018-10-19 13:17:35.206,2018-10-19 13:17:35.206
116,La Libertad,19,2018-10-20 20:47:07.635,2018-10-20 20:47:07.635
117,Bench Maji,11,2018-10-21 23:54:23.374,2018-10-21 23:54:23.374
118,Zamora-Chinchipe,20,2018-10-22 00:02:10.866,2018-10-22 00:02:10.866
119,Chiriquí,30,2018-10-22 00:18:46.012,2018-10-22 00:18:46.012
237,Skåne,37,2019-07-18 16:09:46.125,2019-07-18 16:09:46.125
120,Quindío,14,2018-10-24 17:55:58.899,2018-10-24 17:55:58.899
121,Intibucá,22,2018-10-24 18:03:14.821,2018-10-24 18:03:14.821
122,Zombo District,31,2018-10-25 01:10:14.325,2018-10-25 01:10:14.325
123,Sonsonate,19,2018-10-25 02:46:11.526,2018-10-25 02:46:11.526
124,Stokholm ,37,2018-10-26 12:22:17.540,2018-10-26 12:22:17.540
125,Valle del Cauca,14,2018-10-30 22:54:07.642,2018-10-30 22:54:07.642
126,Copenhagen,38,2018-10-31 12:34:21.121,2018-10-31 12:34:21.121
305,Southwest Finland,61,2019-11-06 21:20:41.461,2019-11-06 21:20:41.461
