"id","name","label","species_id","created_at","updated_at","description"
249,Malawi Gesha,Malawi Gesha,1,2020-06-10 15:20:13.693,2020-06-10 15:20:13.693,
42,Unspecified,Unspecified,1,2017-09-19 00:17:24.881,2018-09-09 16:32:48.982,
75,Gori Gesha,Gori Gesha,1,2018-09-13 02:00:54.102,2018-09-13 02:00:54.102,
82,SANCA 92,Sanca 92,1,2018-10-04 01:08:50.646,2018-10-04 01:08:50.646,
76,Timor Hybrid,Timor Hybrid,1,2018-09-15 21:20:32.045,2018-09-15 21:27:30.866,
15,Gesha,Gesha,1,2017-09-19 00:17:24.752,2018-09-16 18:40:56.798,
77,Purple Caturra,Purple Caturra,1,2018-09-19 22:10:14.846,2018-09-19 22:10:14.846,
78,San Bernardo,San Bernardo,1,2018-09-21 00:44:25.847,2018-09-21 00:44:25.847,
79,Pink Bourbon,Pink Bourbon,1,2018-09-28 13:44:50.861,2018-09-28 13:44:50.861,
84,P88,P88,1,2018-10-05 12:43:39.317,2018-10-05 12:43:39.317,
86,Tim-Tim,Tim Tim,1,2018-10-05 12:44:52.287,2018-10-05 12:44:52.287,
87,Bor-Bor,Bor Bor,1,2018-10-05 12:45:28.309,2018-10-05 12:45:28.309,
88,Red Caturra,Red Caturra,1,2018-10-07 03:06:29.202,2018-10-07 03:06:29.202,
89,Red Castillo,Red Castillo,1,2018-10-07 03:07:25.596,2018-10-07 03:07:25.596,
90,Red Typica,Red Typica,1,2018-10-07 03:07:54.321,2018-10-07 03:07:54.321,
92,Lempira,Lempira,1,2018-10-07 04:16:55.945,2018-10-07 04:16:55.945,
93,Acaia,Acaia,1,2018-10-07 04:34:57.701,2018-10-07 04:34:57.701,
21,Maracaturra,Maracaturra,1,2017-09-19 00:17:24.775,2018-10-07 15:48:07.102,
95,Canario,Canario,1,2018-10-10 14:23:09.357,2018-10-10 14:23:09.357,
96,Orange Bourbon,Orange Bourbon,1,2018-10-13 03:02:32.581,2018-10-13 03:02:32.581,
97,Bourbon 300,Bourbon 300,1,2018-10-13 03:16:00.738,2018-10-13 03:16:00.738,
98,Sidra,Sidra,1,2018-10-17 13:48:43.841,2018-10-17 13:48:43.841,
99,Obata Rojo,Obata Rojo,1,2018-10-17 17:20:46.026,2018-10-17 17:20:46.026,
100,Pache Verde,Pache Verde,1,2018-10-19 13:35:56.387,2018-10-19 13:35:56.387,
60,Topazio,Topazio,1,2018-08-09 00:13:25.558,2018-11-03 17:48:58.994,
83,CR 8667,CR 8667,1,2018-10-04 01:13:10.756,2019-01-06 20:26:06.854,
30,Pache Comum,Pache Comum,1,2017-09-19 00:17:24.828,2018-11-03 17:54:10.830,
81,CR 95,CR 95,1,2018-10-04 01:08:19.545,2019-01-06 20:26:28.906,
14,French mission,French Mission,1,2017-09-19 00:17:24.748,2019-01-06 20:34:29.003,
72,Kent,Kent,1,2018-08-27 23:07:41.899,2019-01-06 20:43:56.975,
71,regional landraces/heirloom,Regional Landraces/Heirloom,1,2018-08-23 18:23:33.764,2019-09-25 15:00:45.171,
101,Criollo,Criollo,1,2018-10-19 13:47:39.364,2018-10-19 13:47:39.364,
102,Tekisic,Tekisic,1,2018-10-20 20:59:18.950,2018-10-20 20:59:18.950,
103,Gesha 1931,Gesha 1931,1,2018-10-21 23:57:23.597,2018-10-21 23:57:23.597,
104,Typica Mejorada,Typica Mejorada,1,2018-10-22 00:09:45.170,2018-10-22 00:09:45.170,
105,Dos Mil,Dos Mil,1,2018-10-24 13:47:45.848,2018-10-24 13:47:45.848,
106,Bourboncito,Bourboncito,1,2018-10-25 00:16:44.942,2018-10-25 00:16:44.942,
107,Venecia,Venecia,1,2018-10-25 00:17:26.710,2018-10-25 00:17:26.710,
110,Red Colombia ,Red Colombia ,1,2018-10-30 22:47:48.281,2018-10-30 22:47:48.281,
112,F8,F8,1,2018-10-30 22:55:56.411,2018-10-30 22:55:56.411,
114,Mulungu,Mulungu,1,2018-11-14 17:04:54.831,2018-11-14 17:04:54.831,
116,Wolisho,Wolisho,1,2018-11-14 17:31:36.609,2018-11-14 17:31:36.609,
118,JARC,Jarc,1,2018-11-14 17:33:32.333,2018-11-14 17:33:32.333,
119,Copa de Oro,Copa De Oro,1,2018-11-18 21:27:28.749,2018-11-18 21:27:28.749,
120,Costa Rica,Costa Rica,1,2018-11-18 21:27:50.730,2018-11-18 21:27:50.730,
121,Oro Azteca,Oro Azteca,1,2018-11-18 21:28:05.448,2018-11-18 21:28:05.448,
123,Green-Tip Gesha,Green Tip Gesha,1,2018-12-06 01:19:40.440,2018-12-06 01:19:40.440,
